Lat,Lon,BS
-38.189999,-58.810001,Bajo
-37.79743,-58.82158,Bajo
-37.833439,-58.741001,Bajo
-37.762199,-58.705399,Bajo
-35.161381,-59.150875,Bajo
-35.10823,-59.22417,Bajo
-35.12279,-59.17739,Bajo
-35.280544,-58.957478,Bajo
-35.351276,-59.284924,Bajo
-35.12634,-58.99591,Bajo
-35.169621,-59.131889,Bajo
-34.52936,-59.30482,Bajo
-34.50968,-59.17252,Bajo
-34.54528,-59.22164,Bajo
-34.41207,-59.15568,Bajo
-35.07477,-57.7711,Bajo
-35.29184,-57.579887,Bajo
-35.06353,-57.668289,Bajo
-35.080669,-57.517769,Bajo
-36.76535,-57.50722,Bajo
-36.84471,-57.91287,Bajo
-37.27202,-57.74792,Bajo
-37.46526,-57.75388,Bajo
-37.44969,-57.77806,Bajo
-37.2715,-57.73892,Bajo
-34.93762,-58.769,Bajo
-34.83617,-58.883331,Bajo
-34.703831,-58.97583,Bajo
-34.937023,-58.747082,Bajo
-34.796841,-58.778419,Bajo
-34.94,-58.77083,Bajo
-34.840832,-58.80917,Bajo
-34.75774,-58.87574,Bajo
-34.689479,-59.436673,Bajo
-34.685852,-59.395596,Bajo
-34.701611,-59.390099,Bajo
-34.71142,-59.45209,Bajo
-34.7299,-59.30487,Bajo
-35.718021,-58.731869,Bajo
-35.364269,-58.859829,Bajo
-35.424679,-58.82407,Bajo
-35.393742,-58.80592,Bajo
-35.382359,-58.830029,Bajo
-34.5967,-58.80195,Bajo
-34.94642,-59.25567,Bajo
-34.9213,-59.22873,Bajo
-35.072731,-59.253052,Bajo
-35.09113,-59.41945,Bajo
-35.12796,-59.645519,Bajo
-35.157131,-59.759071,Bajo
-38.577469,-58.80455,Bajo
-38.483677,-58.910084,Bajo
-38.278568,-59.107101,Bajo
-38.386822,-59.219151,Bajo
-38.65551,-59.01378,Bajo
-38.511959,-59.025532,Bajo
-38.501793,-58.938534,Bajo
-38.1012,-59.13736,Bajo
-38.03116,-59.2461,Bajo
-37.723568,-59.40118,Bajo
-37.99195,-59.25224,Bajo
